Vendedor;Rede;Cliente;Código;Loja;Cidade;UF
Ricardo Santos;Atakarejo;Atakarejo Porto Seguro (000213 - 22);000213;22;Porto Seguro;BA
Ricardo Santos;Atakarejo;Atakarejo Salvador (000213 - 09);000213;09;Salvador;BA
Ricardo Santos;Atakarejo;Atakarejo Simoes Filho (000213 - 30);000213;30;Simoes Filho;BA
Ricardo Santos;Atakarejo;Atakarejo Vitoria Da Conquista (000213 - 23);000213;23;Vitoria Da Conquista;BA
Antonio;Outros;Bontempo Supermercados (004290 - 01);004290;01;Petrolina;PE
Nixon;Cesta Do Povo;Caravelas Comercial De Alimentos Ltda (006007 - 01);006007;01;Feira De Santana;BA
Nixon;Cesta Do Povo;Cdp Alagoinhas (004383 - 01);004383;01;Alagoinhas;BA
Nixon;Cesta Do Povo;Cdp Alagoinhas Loja 11 (004245 - 04);004245;04;Alagoinhas;BA
Nixon;Cesta Do Povo;Cdp Armacao Stiep Loja 14 (004245 - 01);004245;01;Salvador;BA
Nixon;Cesta Do Povo;Cdp Boca Do Rio Loja 07 (002647 - 01);002647;01;Salvador;BA
Nixon;Cesta Do Povo;Cdp Castelo Branco Loja 05 (004245 - 07);004245;07;Salvador;BA
Nixon;Cesta Do Povo;Cdp Catu Loja 12 (004382 - 01);004382;01;Catu;BA
Nixon;Cesta Do Povo;Cdp Cd Monte Libano (005085 - 01);005085;01;Mata De Sao Joao;BA
Nixon;Cesta Do Povo;Cdp Centro - Sede (004245 - 16);004245;16;Mata De Sao Joao;BA
Nixon;Cesta Do Povo;Cdp Centro Dias Davila (004245 - 15);004245;15;Dias D'Avila;BA
Nixon;Cesta Do Povo;Cdp Manoel Dia D'Avila Loja 04 (004245 - 06);004245;06;Dias D'Avila;BA
Nixon;Cesta Do Povo;Cdp Marechal Rondon Loja 13 (004245 - 09);004245;09;Salvador;BA
Nixon;Cesta Do Povo;Cdp Mata Premium Lj 01 (004245 - 03);004245;03;Mata De Sao Joao;BA
Nixon;Cesta Do Povo;Cdp Ogunja Loja 08 (004245 - 08);004245;08;Salvador;BA
Nixon;Cesta Do Povo;Cdp Rodoviaria Loja 17 (004245 - 05);004245;05;Salvador;BA
Nixon;Cesta Do Povo;Cdp Sao Caetano Loja 15 (004245 - 10);004245;10;Salvador;BA
Nixon;Cesta Do Povo;Cdp Sete Portas Loja 09 (002797 - 01);002797;01;Salvador;BA
Nixon;Cesta Do Povo;Cdp Super Centro Mata Loja 10 (004245 - 02);004245;02;Mata De Sao Joao;BA
Nixon;Cesta Do Povo;Cdp Super Mata Loja 02 (004245 - 11);004245;11;Mata De Sao Joao;BA
Nixon;Cesta Do Povo;Cdp Supermercados  7 Portas Novo (004245 - 19);004245;19;Salvador;BA
Vinicius;G Barbosa;Cencosud Cd Sergipe 2 (000082 - 87);000082;87;Nossa Senhora Do Socorro;SE
Antonio;Outros;Centro De Distribuicao Brasil (004585 - 01);004585;01;Capim Grosso;BA
Nixon;Cesta Do Povo;Cesta Do Povo (004245 - 18);004245;18;Catu;BA
Nixon;Cesta Do Povo;Cesta Do Povo Boca Do Rio (004245 - 17);004245;17;Salvador;BA
Vinicius;Redemix;Coageli Lj 2 Centro (000208 - 02);000208;02;Lauro De Freitas;BA
Vinicius;Redemix;Cogeali Lj 01 Paripe (000208 - 01);000208;01;Salvador;BA
Ricardo Santos;Outros;Com De Alimentos Flor Da Chapada (004236 - 01);004236;01;Itaberaba;BA
Nixon;Outros;Compre Bem Alagoinhas (002819 - 01);002819;01;Alagoinhas;BA
Ricardo Santos;Deli E Cia;Deli E Cia Graca (000218 - 01);000218;01;Salvador;BA
Ricardo Santos;Deli E Cia;Deli E Cia Pitangueiras (000218 - 02);000218;02;Lauro De Freitas;BA
Nixon;Dist Sao Roque;Dist Sao Roque  Mangabeira (001600 - 03);001600;03;Feira De Santana;BA
Nixon;Dist Sao Roque;Dist Sao Roque Calumbi (001600 - 04);001600;04;Feira De Santana;BA
Nixon;Dist Sao Roque;Dist Sao Roque Centro (001600 - 02);001600;02;Feira De Santana;BA
Nixon;Dist Sao Roque;Dist Sao Roque Conceicao (001600 - 07);001600;07;Feira De Santana;BA
Nixon;Dist Sao Roque;Dist Sao Roque Sim (001600 - 05);001600;05;Feira De Santana;BA
Nixon;Dist Sao Roque;Dist Sao Roque Sta Monica (001600 - 01);001600;01;Feira De Santana;BA
Nixon;Dist Sao Roque;Dist Sao Roque Sto Estevao (001600 - 06);001600;06;Santo Estevao;BA
Nixon;Economart;Economart  Itabuna (006049 - 07);006049;07;Itabuna;BA
Nixon;Economart;Economart Feira De Santana (006049 - 01);006049;01;Feira De Santana;BA
Nixon;Economart;Economart Jequie (006049 - 03);006049;03;Jequie;BA
Nixon;Economart;Economart Luis Eduardo (006049 - 04);006049;04;Luis Eduardo Magalhaes;BA
Nixon;Economart;Economart Santo Antonio (006049 - 06);006049;06;Santo Antonio De Jesus;BA
Nixon;Economart;Economart Vitoria Da Conquista (006049 - 02);006049;02;Vitoria Da Conquista;BA
Vinicius;Outros;Eko Express Minimercado Ltda (004640 - 01);004640;01;Aracaju;SE
Vinicius;Outros;Exito Supermercado (006123 - 01);006123;01;Lagarto;SE
Antonio;Feirao Das Frutas;Feirao Das Frutas Atras Da Banca (001926 - 01);001926;01;Petrolina;PE
Antonio;Feirao Das Frutas;Feirao Das Frutas Maria Auxiliadora (001926 - 02);001926;02;Petrolina;PE
Antonio;Outros;Frutos Da Terra (000259 - 01);000259;01;Petrolina;PE
Vinicius;G Barbosa;G Barbosa Farolandia (000082 - 64);000082;64;Aracaju;SE
Vinicius;G Barbosa;G Barbosa Hiper Norte (000082 - 55);000082;55;Aracaju;SE
Vinicius;G Barbosa;G. Barbosa  - Rio Mar (000082 - 53);000082;53;Aracaju;SE
Vinicius;G Barbosa;G. Barbosa Francisco Porto (000082 - 61);000082;61;Aracaju;SE
Vinicius;G Barbosa;Gbarbosa  Sao Cristovao (000082 - 74);000082;74;Sao Cristovao;SE
Vinicius;G Barbosa;Gbarbosa 015 Feira De Santana (000082 - 15);000082;15;Feira De Santana;BA
Vinicius;G Barbosa;Gbarbosa 016 Feira De Santana (000082 - 16);000082;16;Feira De Santana;BA
Vinicius;G Barbosa;Gbarbosa 017 Feira De Santana (000082 - 17);000082;17;Feira De Santana;BA
Vinicius;G Barbosa;Gbarbosa 029 Brotas (000082 - 08);000082;08;Salvador;BA
Vinicius;G Barbosa;Gbarbosa 035 Costa Azul (000082 - 09);000082;09;Salvador;BA
